intelligence,ranks,sizes,traits,invalid
Border Collie,Border Collies,Border Collie,Border Collies,0
Poodle,Poodles,Poodle Toy,Poodles,0
German Shepherd,German Shepherd Dogs,German Shepherd Dog,German Shepherd Dogs,0
Golden Retriever,Retrievers (Golden),Golden Retriever,Retrievers (Golden),0
Doberman Pinscher,Doberman Pinschers,Doberman Pinscher,Doberman Pinschers,0
Shetland Sheepdog,Shetland Sheepdogs,Shetland Sheepdog (Sheltie),Shetland Sheepdogs,0
Labrador Retriever,Retrievers (Labrador),Labrador Retriever,Retrievers (Labrador),0
Papillon,Papillons,Papillon,Papillons,0
Rottweiler,Rottweilers,Rottweiler,Rottweilers,0
Australian Cattle Dog,Australian Cattle Dogs,Australian Cattle Dog,Australian Cattle Dogs,0
English Springer Spaniel,Spaniels (English Springer),English Springer Spaniel,Spaniels (English Springer),0
Schipperke,Schipperkes,Schipperke,Schipperkes,0
Belgian Sheepdog,Belgian Sheepdogs,Belgian Sheepdog,Belgian Sheepdogs,0
Collie,Collies,Border Collie,Collies,0
Keeshond,Keeshonden,Keeshond,Keeshonden,0
German Shorthaired Pointer,Pointers (German Shorthaired),German Shorthaired Pointer,Pointers (German Shorthaired),0
Flat-Coated Retriever,Retrievers (Flat-Coated),Flat Coated Retriever,Retrievers (Flat-Coated),0
English Cocker Spaniel,Spaniels (English Cocker),Cocker Spaniel-English,Spaniels (English Cocker),0
Standard Schnauzer,Standard Schnauzers,Standard Schnauzer,Standard Schnauzers,0
Brittany,Brittanys,Brittany,Brittanys,0
Weimaraner,Weimaraners,Weimaraner,Weimaraners,0
Belgian Malinois,Belgian Malinois,Belgian Malinois,Belgian Malinois,0
Bernese Mountain Dog,Bernese Mountain Dogs,Bernese Mountain Dog,Bernese Mountain Dogs,0
Pomeranian,Pomeranians,Pomeranian,Pomeranians,0
Irish Water Spaniel,Spaniels (Irish Water),Irish Water Spaniel,Spaniels (Irish Water),0
Vizsla,Vizslas,Vizsla,Vizslas,0
Cardigan Welsh Corgi,Cardigan Welsh Corgis,Cardigan Welsh Corgi,Cardigan Welsh Corgis,0
Chesapeake Bay Retriever,Retrievers (Chesapeake Bay),Chesapeake Bay Retriever,Retrievers (Chesapeake Bay),0
Puli,Pulik,Puli,Pulik,0
Yorkshire Terrier,Yorkshire Terriers,Yorkshire Terrier,Yorkshire Terriers,0
Giant Schnauzer,Giant Schnauzers,Giant Schnauzer,Giant Schnauzers,0
Portuguese Water Dog,Portuguese Water Dogs,Portuguese Water Dog,Portuguese Water Dogs,0
Bouvier des Flandres,Bouviers des Flandres,Bouvier Des Flandres,Bouviers des Flandres,0
Border Terrier,Border Terriers,Border Terrier,Border Terriers,0
Briard,Briards,Briard,Briards,0
Welsh Springer Spaniel,Spaniels (Welsh Springer),Welsh Springer Spaniel,Spaniels (Welsh Springer),0
Manchester Terrier,Manchester Terriers,Manchester Terrier (Toy),Manchester Terriers,0
Samoyed,Samoyeds,Samoyed,Samoyeds,0
Field Spaniel,Spaniels (Field),Field Spaniel,Spaniels (Field),0
Newfoundland,Newfoundlands,Newfoundland,Newfoundlands,0
Australian Terrier,Australian Terriers,Australian Terrier,Australian Terriers,0
American Staffordshire Terrier,American Staffordshire Terriers,American Staffordshire Terrier,American Staffordshire Terriers,0
Gordon Setter,Setters (Gordon),Gordon Setter,Setters (Gordon),0
Bearded Collie,Bearded Collies,Bearded Collie,Bearded Collies,0
Cairn Terrier,Cairn Terriers,Cairn Terrier,Cairn Terriers,0
Kerry Blue Terrier,Kerry Blue Terriers,Kerry Blue Terrier,Kerry Blue Terriers,0
Irish Setter,Setters (Irish),Irish Setter,Setters (Irish),0
Norwegian Elkhound,Norwegian Elkhounds,Norwegian Elkhound,Norwegian Elkhounds,0
Affenpinscher,Affenpinschers,Affenpinscher,Affenpinschers,0
English Setter,Setters (English),English Setter,Setters (English),0
Pharaoh Hound,Pharaoh Hounds,Pharaoh Hound,Pharaoh Hounds,0
Clumber Spaniel,Spaniels (Clumber),Clumber Spaniel,Spaniels (Clumber),0
Dalmatian,Dalmatians,Dalmatian,Dalmatians,0
Soft-coated Wheaten Terrier,Soft Coated Wheaten Terriers,Soft-Coated Wheaten Terrier,Soft Coated Wheaten Terriers,0
Bedlington Terrier,Bedlington Terriers,Bedlington Terrier,Bedlington Terriers,0
Fox Terrier (Smooth),Fox Terriers (Smooth),Fox Terrier Smooth,Fox Terriers (Smooth),0
Curly Coated Retriever,Retrievers (Curly-Coated),Curly Coated Retriever,Retrievers (Curly-Coated),0
Irish Wolfhound,Irish Wolfhounds,Irish Wolfhound,Irish Wolfhounds,0
Kuvasz,Kuvaszok,Kuvasz,Kuvaszok,0
Australian Shepherd,Australian Shepherds,Australian Shepherd,Australian Shepherds,0
Saluki,Salukis,Saluki,Salukis,0
Finnish Spitz,Finnish Spitz,Finnish Spitz,Finnish Spitz,0
Pointer,Pointers,Pointer,Pointers,0
Cavalier King Charles Spaniel,Cavalier King Charles Spaniels,Cavalier King Charles Spaniel,Cavalier King Charles Spaniels,0
German Wirehaired Pointer,Pointers (German Wirehaired),German Wirehaired Pointer,Pointers (German Wirehaired),0
Black and Tan Coonhound,Black and Tan Coonhounds,Black And Tan Coonhound,Black and Tan Coonhounds,0
American Water Spaniel,Spaniels (American Water),American Water Spaniel,Spaniels (American Water),0
Bichon Frise,Bichons Frises,Bichon Frise,Bichons Frises,0
Tibetan Spaniel,Tibetan Spaniels,Tibetan Spaniel,Tibetan Spaniels,0
English Foxhound,English Foxhounds,English Foxhound,English Foxhounds,0
American Foxhound,American Foxhounds,American Foxhound,American Foxhounds,0
Greyhound,Greyhounds,Greyhound,Greyhounds,0
Wirehaired Pointing Griffon,Wirehaired Pointing Griffons,Wirehaired Pointing Griffon,Wirehaired Pointing Griffons,0
West Highland White Terrier,West Highland White Terriers,West Highland White Terrier,West Highland White Terriers,0
Scottish Deerhound,Scottish Deerhounds,Scottish Deerhound,Scottish Deerhounds,0
Boxer,Boxers,Boxer,Boxers,0
Great Dane,Great Danes,Great Dane,Great Danes,0
Dachshund,Dachshunds,Dachshund,Dachshunds,0
Shiba Inu,Shiba Inu,Shiba Inu,Shiba Inu,0
Staffordshire Bull Terrier,Staffordshire Bull Terriers,Staffordshire Bull Terrier,Staffordshire Bull Terriers,0
Whippet,Whippets,Whippet,Whippets,0
Chinese Shar Pei,Chinese Shar-Pei,Chinese Shar Pei,Chinese Shar-Pei,0
Wire Fox Terrier,Fox Terriers (Wire),Fox Terrier Wirehair,Fox Terriers (Wire),0
Rhodesian Ridgeback,Rhodesian Ridgebacks,Rhodesian Ridgeback,Rhodesian Ridgebacks,0
Ibizan Hound,Ibizan Hounds,Ibizan Hound,Ibizan Hounds,0
Welsh Terrier,Welsh Terriers,Welsh Terrier,Welsh Terriers,0
Irish Terrier,Irish Terriers,Irish Terrier,Irish Terriers,0
Boston Terrier,Boston Terriers,Boston Terrier,Boston Terriers,0
Akita,Akitas,Akita,Akitas,0
Skye Terrier,Skye Terriers,Skye Terrier,Skye Terriers,0
Sealyham Terrier,Sealyham Terriers,Sealyham Terrier,Sealyham Terriers,0
Pug,Pugs,Pug,Pugs,0
French Bulldog,French Bulldogs,French Bulldog,French Bulldogs,0
Maltese,Maltese,Maltese,Maltese,0
Italian Greyhound,Italian Greyhounds,Italian Greyhound,Italian Greyhounds,0
Chinese Crested,Chinese Crested,Chinese Crested,Chinese Crested,0
Dandie Dinmont Terrier,Dandie Dinmont Terriers,Dandie Dinmont Terrier,Dandie Dinmont Terriers,0
Petit Basset Griffon Vend̩en,Petits Bassets Griffons Vendeens,Petit Basset Griffon Vendeen,Petits Bassets Griffons Vendeens,1
Tibetan Terrier,Tibetan Terriers,Tibetan Terrier,Tibetan Terriers,0
Japanese Chin,Japanese Chin,Japanese Chin,Japanese Chin,0
Lakeland Terrier,Lakeland Terriers,Lakeland Terrier,Lakeland Terriers,0
Old English Sheepdog,Old English Sheepdogs,Old English Sheepdog (Bobtail),Old English Sheepdogs,0
Great Pyrenees,Great Pyrenees,Great Pyrenees,Great Pyrenees,0
Scottish Terrier,Scottish Terriers,Scottish Terrier,Scottish Terriers,0
Bull Terrier,Bull Terriers,Bull Terrier,Bull Terriers,0
Chihuahua,Chihuahuas,Chihuahua,Chihuahuas,0
Bullmastiff,Bullmastiffs,Bullmastiff,Bullmastiffs,0
Shih Tzu,Shih Tzu,Shih Tzu,Shih Tzu,0
Basset Hound,Basset Hounds,Basset Hound,Basset Hounds,0
Mastiff,Mastiffs,Mastiff,Mastiffs,0
Beagle,Beagles,Beagle,Beagles,0
Bloodhound,Bloodhounds,Bloodhound,Bloodhounds,0
Borzoi,Borzois,Borzoi,Borzois,0
Chow Chow,Chow Chows,Chow Chow,Chow Chows,0
Bulldog,Bulldogs,French Bulldog,Bulldogs,0
Basenji,Basenjis,Basenji,Basenjis,0
Afghan Hound,Afghan Hounds,Afghan Hound,Afghan Hounds,0
